lib_mrq_utac;lib_mod;cnit;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;carrosserie;gamme;etiq_energ;bonus_malus;annee_df
ALFA-ROMEO;MiTo 1.4 MPI (78ch);MAL1101P0804;ES;non;5;58.0;M 6;7.7;4.8;5.9;138;None;None;None;None;None;None;None;None;None;None;C;-;2009
ALFA-ROMEO;MiTo 1.4 MPI (78ch);MAL1101PZ803;ES;non;5;58.0;M 6;7.7;4.8;5.9;138;None;None;None;None;None;None;None;None;None;None;C;-;2009
ALFA-ROMEO;147 3P 1.6L TS (105ch);MAL1301JZ595;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;147 5P 1.6TS (105ch);MAL1302JD607;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;147 3P 1.6L TS (120ch);MAL1401JB597;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;147 5P 1.6TS (120ch);MAL1402JP609;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;147 3P 2.0L SELESPEED;MAL1601JX599;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;GT 1.8L;MAL1601K6510;ES;non;9;103.0;M 5;12.1;6.4;8.5;202;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;147 5P 2.0L SELESPEED;MAL1602JB611;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;159 1.8 MPI;MAL1602MP754;ES;non;9;103.0;M 5;10.3;6.0;7.6;179;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;159 SW 1.8L MPI;MAL1604MC774;ES;non;9;103.0;M 5;10.7;6.1;7.8;183;None;None;None;None;None;None;None;None;None;None;E;750;2009
ALFA-ROMEO;GT COUPE 2.0L JTS SELESPEED;MAL1701K5499;ES;non;11;122.0;M 5;12.2;6.7;8.7;207;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;GT COUPE 2.0L JTS;MAL1701K6500;ES;non;11;122.0;M 5;12.2;6.7;8.7;207;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;MiTo 1.4 T-jet (155ch);MAL1701PL801;ES;non;9;114.0;M 6;8.5;5.3;6.5;153;None;None;None;None;None;None;None;None;None;None;D;-;2009
ALFA-ROMEO;MiTo 1.4 T-jet (155ch);MAL1701PM802;ES;non;9;114.0;M 6;8.5;5.3;6.5;153;None;None;None;None;None;None;None;None;None;None;D;-;2009
ALFA-ROMEO;BRERA 2.2L JTS SELESPEED;MAL1801N5777;ES;non;12;136.0;M 6;12.6;7.1;9.1;214;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;BRERA 2.2L JTS SELESPEED;MAL1801N6778;ES;non;12;136.0;M 6;12.6;7.1;9.1;214;None;None;None;None;None;None;None;None;None;None;F;1600;2009
ALFA-ROMEO;BRERA 2.2L JTS;MAL1801N7779;ES;non;12;136.0;M 6;12.7;7.2;9.2;218;None;None;None;None;None;None;None;None;None;None;F;1600;2009
