lib_mrq_utac;lib_mod;cnit;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;carrosserie;gamme;etiq_energ;bonus_malus;annee_df
ALFA-ROMEO;147 3P 1.6 TS (105ch);MAL1301JY594;ES;non;7;77.0;M 5;11.1;6.3;8.1;192;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 3P 1.6 TS (120ch);MAL1401JA596;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 3P 2.0 TS;MAL1601JY600;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 3P 2.0L SELESPEED;MAL1601JW598;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 5P 1.6 TS (105ch);MAL1302JC606;ES;non;7;77.0;M 5;11.1;6.3;8.1;192;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 5P 1.6 TS (120ch);MAL1402JP608;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 5P 2.0L;MAL1602JC612;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 5P 2.0L SELESPEED;MAL1602JA610;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 GTA;MAL1901JL532;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;147 GTA SELESPEED;MAL1901JJ530;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 1.6L TS;MAL1402EP552/MAL1402EP553;ES;non;8;88.0;M 5;11.4;6.4;8.2;195;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 1.8L TS;MAL1602E6550/MAL1602E7551;ES;non;9;103.0;M 5;12.1;6.4;8.5;202;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 2.0 JTS;MAL1702EL555/MAL1702EM556;ES;non;11;122.0;M 5;12.2;6.6;8.6;205;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 2.0 JTS SELESPEED;MAL1702EN557/MAL1702EP558;ES;non;11;122.0;M 5;12.2;6.6;8.6;205;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 GTA;MAL1902EC587;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 GTA SELESPEED;MAL1902ED588;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW 1.6L TS;MAL1404E7567/MAL1404E8568;ES;non;8;88.0;M 5;11.5;6.5;8.3;198;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW 1.8L TS;MAL1604EP565/MAL1604EQ566;ES;non;9;103.0;M 5;12.2;6.5;8.6;205;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW 2.0 JTS;MAL1704E4570/MAL1704E5571;ES;non;11;122.0;M 5;12.5;6.8;8.9;212;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW 2.0 JTS SELESPEED;MAL1704E7573/MAL1704E6572;ES;non;11;122.0;M 5;12.5;6.8;8.9;212;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW GTA;MAL1904EJ590;ES;non;18;184.0;M 6;18.4;8.8;12.3;293;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;156 SW GTA SELESPEED;MAL1904EK591;ES;non;18;184.0;M 6;18.4;8.8;12.3;293;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;166 2.0L TS;MAL1602G2580;ES;non;10;110.0;M 6;13.8;7.3;9.7;230;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;166 2.5L V6;MAL1802GL579;ES;non;14;138.0;M 6;17.2;8.8;11.9;284;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;166 3.0L V6 SPORTRONIC;MAL3902GB578;ES;non;16;162.0;A 4;19.4;9.3;13.0;310;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;166 3.2L V6;MAL1902G9582;ES;non;17;176.5;M 6;18.3;9.1;12.5;297;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GT COUPE 2.0 JTS;MAL1701K6500;ES;non;11;122.0;M 5;12.2;6.7;8.7;207;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GT COUPE 2.0 JTS SELESPEED;MAL1701K5499;ES;non;11;122.0;M 5;12.2;6.7;8.7;207;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GT COUPE 3.2L;MAL1901KS502;ES;non;17;176.5;M 6;18.6;8.7;12.4;295;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GTV 2.0L JTS;MAL1701H0436;ES;non;11;122.0;M 5;13.3;6.8;9.2;220;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GTV 2.0L TS;MAL1601HP435;ES;non;10;110.0;M 5;13.3;6.8;9.2;220;None;None;None;None;None;None;None;None;None;None;None;None;2005
ALFA-ROMEO;GTV 3.2L V6 24V;MAL1901HM438;ES;non;18;176.5;M 6;19.9;9.3;13.2;315;None;None;None;None;None;None;None;None;None;None;None;None;2005
