lib_mrq_utac;lib_mod;cnit;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;carrosserie;gamme;etiq_energ;bonus_malus;annee_df
SMART;SMART FORTWO COUPE ELECTRIC;M10SMTVP000E039;EL;non;5;;M 1;;;;;None;None;None;None;None;None;None;None;None;None;A;-5000;2010
SMART;SMART FORTWO Cabrio ELECTRIC;M10SMTVP000F040;EL;non;5;;M 1;;;;;None;None;None;None;None;None;None;None;None;None;A;-5000;2010
ALFA-ROMEO;MiTo 1.4 MPI (105ch) MultiAir;M10ALFVP0002035;ES;non;6;77;M 6;7,6;4,8;5,8;136;None;None;None;None;None;None;None;None;None;None;C;-;2010
ALFA-ROMEO;GT COUPE 2.0L JTS;M10ALFVP0002132;ES;non;11;122;M 5;12,2;6,7;8,7;207;None;None;None;None;None;None;None;None;None;None;F;1600;2010
ALFA-ROMEO;GT COUPE 2.0L JTS;M10ALFVP0003133;ES;non;11;122;M 5;12,2;6,7;8,7;207;None;None;None;None;None;None;None;None;None;None;F;1600;2010
ALFA-ROMEO;MiTo 1.4 TB (135ch)  MultiAir;M10ALFVP0004037;ES;non;7;99;M 5;7,4;4,5;5,6;129;None;None;None;None;None;None;None;None;None;None;C;-;2010
ALFA-ROMEO;ALFA 8C SPIDER;M10ALFVP0006039;ES;non;38;331;M 6;24,4;11,6;16,3;379;None;None;None;None;None;None;None;None;None;None;G;2600;2010
ALFA-ROMEO;GT 1.8L;M10ALFVP000K150;ES;non;9;103;M 5;12,1;6,4;8,5;202;None;None;None;None;None;None;None;None;None;None;F;1600;2010
ALFA-ROMEO;GT 1.8L;M10ALFVP000L151;ES;non;9;103;M 5;12,1;6,4;8,5;202;None;None;None;None;None;None;None;None;None;None;F;1600;2010
ALFA-ROMEO;147 1.6L TS (105ch);M10ALFVP000M091;ES;non;7;77;M 5;11,3;6,4;8,2;196;None;None;None;None;None;None;None;None;None;None;E;1600;2010
ALFA-ROMEO;147 1.6L TS (120ch);M10ALFVP000P093;ES;non;8;88;M 5;11,2;6,4;8,2;194;None;None;None;None;None;None;None;None;None;None;E;750;2010
MERCEDES AMG;E 63 AMG BERLINE BVA7;M10AMGVP0007002;ES;non;44;386;A 7;18,7;9,1;12,6;295;None;None;None;None;None;None;None;None;None;None;G;2600;2010
