lib_mrq_utac;lib_mod;cnit;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;carrosserie;gamme;etiq_energ;bonus_malus;annee_df
ALFA-ROMEO;147 3P 1.6L TS (105ch);MAL1301JZ595;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 3P 1.6L TS (120ch);MAL1401JB597;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 3P 2.0L SELESPEED;MAL1601JX599;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 3P 2.0L TS;MAL1601JZ601;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 3P JTD (120ch) M-JET;MAL5401JH627;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 3P JTD (150ch) M-JET;MAL5601J0626;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P 1.6TS (105ch);MAL1302JD607;ES;non;7;77.0;M 5;11.3;6.4;8.2;196;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P 1.6TS (120ch);MAL1402JP609;ES;non;8;88.0;M 5;11.2;6.4;8.2;194;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P 2.0L;MAL1602JD613;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P 2.0L SELESPEED;MAL1602JB611;ES;non;10;110.0;M 5;12.1;7.0;8.9;211;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P JTD (120ch) M-JET;MAL5402JL629;GO;non;7;88.0;M 5;7.8;4.7;5.8;153;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 5P JTD (150ch) M-JET;MAL5602J4628;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 GTA;MAL1901JL532;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;147 GTA SELESPEED;MAL1901JJ530;ES;non;18;184.0;M 6;18.1;8.6;12.1;287;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 1.6L TS;MAL1402EP553;ES;non;8;88.0;M 5;11.4;6.4;8.2;195;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 1.8L TS;MAL1602E7551;ES;non;9;103.0;M 5;12.1;6.4;8.5;202;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 1.9 JTD (115ch);MAL5402EX549;GO;non;7;85.0;M 5;7.8;4.7;5.8;155;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 1.9 JTD (126ch);MAL5502EJ561;GO;non;7;93.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 1.9 JTD (150ch);MAL5602EW589;GO;non;9;110.0;M 6;8.0;4.7;5.9;157;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 2.0L JTS;MAL1702EL555;ES;non;11;122.0;M 5;12.2;6.6;8.6;205;None;None;None;None;None;None;None;None;None;None;None;None;2006
ALFA-ROMEO;156 2.0L JTS SELESPEED;MAL1702EN557;ES;non;11;122.0;M 5;12.2;6.6;8.6;205;None;None;None;None;None;None;None;None;None;None;None;None;2006
